ANNEE,INDICATEUR,SOUS-INDICATEUR,PLF,CFX,TOTAL,UNITE,COEF_CRISE,HYPOTHESE_CRISE,PLF_CRISE,CFX_CRISE,TOTAL_CRISE
2017,Naissances,Naissances,1228.5,1228.5,2457.0,naissances,1.6,Hypothèse : +60% d'activité (urgences/séjours/consultations) en période de crise sanitaire aiguë type pandémie.,1965.6,1965.6,3931.2
2011,Séjours,Ambulatoire (<24h),86529.0,1184.0,87713.0,séjours,1.6,Hypothèse : +60% d'activité (urgences/séjours/consultations) en période de crise sanitaire aiguë type pandémie.,138446.4,1894.4,140340.8
2012,Séjours,Ambulatoire (<24h),86529.0,1184.0,87713.0,séjours,1.6,Hypothèse : +60% d'activité (urgences/séjours/consultations) en période de crise sanitaire aiguë type pandémie.,138446.4,1894.4,140340.8
2013,Séjours,Ambulatoire (<24h),88872.0,1327.33,90199.33,séjours,1.6,Hypothèse : +60% d'activité (urgences/séjours/consultations) en période de crise sanitaire aiguë type pandémie.,142195.2,2123.73,144318.93
2014,Séjours,Ambulatoire (<24h),91215.0,1470.67,92685.67,séjours,1.6,Hypothèse : +60% d'activité (urgences/séjours/consultations) en période de crise sanitaire aiguë type pandémie.,145944.0,2353.07,148297.07
2015,Séjours,Ambulatoire (<24h),93558.0,1614.0,95172.0,séjours,1.6,Hypothèse : +60% d'activité (urgences/séjours/consultations) en période de crise sanitaire aiguë type pandémie.,149692.8,2582.4,152275.2
2016,Séjours,Ambulatoire (<24h),98791.28,1527.72,100319.0,séjours,1.6,Hypothèse : +60% d'activité (urgences/séjours/consultations) en période de crise sanitaire aiguë type pandémie.,158066.05,2444.35,160510.4
2017,Séjours,Ambulatoire (<24h),98791.28,1527.72,100319.0,séjours,1.6,Hypothèse : +60% d'activité (urgences/séjours/consultations) en période de crise sanitaire aiguë type pandémie.,158066.05,2444.35,160510.4
2011,Séjours,Hospitalisation complète (>24h),64693.0,3494.0,68187.0,séjours,1.6,Hypothèse : +60% d'activité (urgences/séjours/consultations) en période de crise sanitaire aiguë type pandémie.,103508.8,5590.4,109099.2
2012,Séjours,Hospitalisation complète (>24h),64693.0,3494.0,68187.0,séjours,1.6,Hypothèse : +60% d'activité (urgences/séjours/consultations) en période de crise sanitaire aiguë type pandémie.,103508.8,5590.4,109099.2
2013,Séjours,Hospitalisation complète (>24h),65973.0,3892.33,69865.33,séjours,1.6,Hypothèse : +60% d'activité (urgences/séjours/consultations) en période de crise sanitaire aiguë type pandémie.,105556.8,6227.73,111784.53
2014,Séjours,Hospitalisation complète (>24h),67253.0,4290.67,71543.67,séjours,1.6,Hypothèse : +60% d'activité (urgences/séjours/consultations) en période de crise sanitaire aiguë type pandémie.,107604.8,6865.07,114469.87
2015,Séjours,Hospitalisation complète (>24h),68533.0,4689.0,73222.0,séjours,1.6,Hypothèse : +60% d'activité (urgences/séjours/consultations) en période de crise sanitaire aiguë type pandémie.,109652.8,7502.4,117155.2
2016,Séjours,Hospitalisation complète (>24h),70751.46,4327.54,75079.0,séjours,1.6,Hypothèse : +60% d'activité (urgences/séjours/consultations) en période de crise sanitaire aiguë type pandémie.,113202.34,6924.06,120126.4
2017,Séjours,Hospitalisation complète (>24h),70751.46,4327.54,75079.0,séjours,1.6,Hypothèse : +60% d'activité (urgences/séjours/consultations) en période de crise sanitaire aiguë type pandémie.,113202.34,6924.06,120126.4
2011,Urgences,Passages totaux,83002.0,60860.5,143862.5,passages,1.6,Hypothèse : +60% d'activité (urgences/séjours/consultations) en période de crise sanitaire aiguë type pandémie.,132803.2,97376.8,230180.0
2012,Urgences,Passages totaux,85993.0,60860.5,146853.5,passages,1.6,Hypothèse : +60% d'activité (urgences/séjours/consultations) en période de crise sanitaire aiguë type pandémie.,137588.8,97376.8,234965.6
2013,Urgences,Passages totaux,77615.5,60860.5,138476.0,passages,1.6,Hypothèse : +60% d'activité (urgences/séjours/consultations) en période de crise sanitaire aiguë type pandémie.,124184.8,97376.8,221561.6
2014,Urgences,Passages totaux,69238.0,60860.5,130098.5,passages,1.6,Hypothèse : +60% d'activité (urgences/séjours/consultations) en période de crise sanitaire aiguë type pandémie.,110780.8,97376.8,208157.6
2015,Urgences,Passages totaux,60860.5,60860.5,121721.0,passages,1.6,Hypothèse : +60% d'activité (urgences/séjours/consultations) en période de crise sanitaire aiguë type pandémie.,97376.8,97376.8,194753.6
2016,Urgences,Passages totaux,63839.0,63839.0,127678.0,passages,1.6,Hypothèse : +60% d'activité (urgences/séjours/consultations) en période de crise sanitaire aiguë type pandémie.,102142.4,102142.4,204284.8
2017,Urgences,Passages totaux,63839.0,63839.0,127678.0,passages,1.6,Hypothèse : +60% d'activité (urgences/séjours/consultations) en période de crise sanitaire aiguë type pandémie.,102142.4,102142.4,204284.8
2011,Urgences,Patients admis en hospitalisation,6083.0,3794.0,9877.0,patients,1.6,Hypothèse : +60% d'activité (urgences/séjours/consultations) en période de crise sanitaire aiguë type pandémie.,9732.8,6070.4,15803.2
2012,Urgences,Patients admis en hospitalisation,10063.0,3794.0,13857.0,patients,1.6,Hypothèse : +60% d'activité (urgences/séjours/consultations) en période de crise sanitaire aiguë type pandémie.,16100.8,6070.4,22171.2
2013,Urgences,Patients admis en hospitalisation,7973.33,3794.0,11767.33,patients,1.6,Hypothèse : +60% d'activité (urgences/séjours/consultations) en période de crise sanitaire aiguë type pandémie.,12757.33,6070.4,18827.73
2014,Urgences,Patients admis en hospitalisation,5883.67,3794.0,9677.67,patients,1.6,Hypothèse : +60% d'activité (urgences/séjours/consultations) en période de crise sanitaire aiguë type pandémie.,9413.87,6070.4,15484.27
2015,Urgences,Patients admis en hospitalisation,3794.0,3794.0,7588.0,patients,1.6,Hypothèse : +60% d'activité (urgences/séjours/consultations) en période de crise sanitaire aiguë type pandémie.,6070.4,6070.4,12140.8
2016,Urgences,Patients admis en hospitalisation,3794.0,3794.0,7588.0,patients,1.6,Hypothèse : +60% d'activité (urgences/séjours/consultations) en période de crise sanitaire aiguë type pandémie.,6070.4,6070.4,12140.8
2017,Urgences,Patients admis en hospitalisation,3794.0,3794.0,7588.0,patients,1.6,Hypothèse : +60% d'activité (urgences/séjours/consultations) en période de crise sanitaire aiguë type pandémie.,6070.4,6070.4,12140.8
